date,lat,lon,Precip_mean,Air_Temp_mean,Surf_Radiation_mean,Wind_Velocity_mean,Air_Temp_cumsum,Precip_cumsum,Surf_Radiation_cumsum,Wind_Velocity_cumsum
2012-04-04,44.712500000000006,-122.20416663333334,10.525,2.0,127.65,5.275,247.54375000000255,1258.5375,9762.2125,622.3125
2012-04-05,44.712500000000006,-122.20416663333334,5.4750000000000005,1.9250000000000682,156.75,4.275,249.46875000000261,1264.0125,9918.9625,626.5875
2012-04-06,44.712500000000006,-122.20416663333334,1.0625,2.28125,205.75,3.1125000000000003,251.75000000000261,1265.075,10124.7125,629.7
2012-04-07,44.712500000000006,-122.20416663333334,0.0,5.631250000000023,221.75,2.725,257.38125000000264,1265.075,10346.4625,632.4250000000001
2012-04-08,44.712500000000006,-122.20416663333334,0.0,10.9375,224.2625,2.9250000000000003,268.31875000000264,1265.075,10570.725,635.35
2012-04-09,44.712500000000006,-122.20416663333334,0.0,11.381250000000023,192.875,1.9625,279.70000000000266,1265.075,10763.6,637.3125
2012-04-10,44.712500000000006,-122.20416663333334,2.4875000000000003,11.556249999999977,161.95000000000002,3.2,291.25625000000264,1267.5625,10925.55,640.5125
2012-04-11,44.712500000000006,-122.20416663333334,8.35,7.256250000000023,169.91250000000002,3.3125000000000004,298.51250000000266,1275.9125,11095.4625,643.825
2012-04-12,44.712500000000006,-122.20416663333334,4.1875,6.337499999999977,213.2125,5.8125,304.85000000000264,1280.1,11308.675000000001,649.6375
2012-04-13,44.712500000000006,-122.20416663333334,2.325,6.737500000000011,237.9,2.7,311.58750000000265,1282.425,11546.575,652.3375
2012-04-14,44.712500000000006,-122.20416663333334,1.2000000000000002,8.318750000000023,295.9875,4.1000000000000005,319.9062500000027,1283.625,11842.5625,656.4375
2012-04-15,44.712500000000006,-122.20416663333334,0.0,7.275000000000034,154.45000000000002,3.6125000000000003,327.1812500000027,1283.625,11997.0125,660.0500000000001
2012-04-16,44.712500000000006,-122.20416663333334,27.95,7.600000000000023,140.6,7.325,334.78125000000273,1311.575,12137.612500000001,667.375
2012-04-17,44.712500000000006,-122.20416663333334,6.487500000000001,6.6062500000000455,220.925,4.2875,341.3875000000028,1318.0625,12358.5375,671.6625
2012-04-18,44.712500000000006,-122.20416663333334,14.925,7.1687500000000455,223.5625,7.237500000000001,348.5562500000028,1332.9875,12582.1,678.9
2012-04-19,44.712500000000006,-122.20416663333334,27.7875,8.825000000000045,88.125,5.4125000000000005,357.38125000000286,1360.775,12670.225,684.3125
2012-04-20,44.712500000000006,-122.20416663333334,1.725,13.206250000000011,245.8625,6.800000000000001,370.5875000000029,1362.5,12916.0875,691.1125000000001
2012-04-21,44.712500000000006,-122.20416663333334,0.0,14.025000000000034,304.4375,2.1125000000000003,384.6125000000029,1362.5,13220.525,693.225
2012-04-22,44.712500000000006,-122.20416663333334,0.0,16.962500000000034,300.3875,2.2875,401.57500000000294,1362.5,13520.9125,695.5125
2012-04-23,44.712500000000006,-122.20416663333334,2.3875,18.318750000000023,301.65000000000003,2.225,419.89375000000297,1364.8875,13822.5625,697.7375000000001
2012-04-24,44.712500000000006,-122.20416663333334,3.125,13.818750000000023,210.5,4.3,433.712500000003,1368.0125,14033.0625,702.0375
2012-04-25,44.712500000000006,-122.20416663333334,15.6,12.181250000000034,207.925,6.025,445.893750000003,1383.6125,14240.987500000001,708.0625
2012-04-26,44.712500000000006,-122.20416663333334,23.9625,6.893750000000068,203.9875,6.7,452.7875000000031,1407.575,14444.975,714.7625
2012-04-27,44.712500000000006,-122.20416663333334,11.4375,5.3250000000000455,150.325,7.312500000000001,458.11250000000314,1419.0125,14595.300000000001,722.075
2012-04-28,44.712500000000006,-122.20416663333334,0.23750000000000002,8.868750000000034,253.4375,3.4125,466.9812500000032,1419.25,14848.737500000001,725.4875000000001
2012-04-29,44.712500000000006,-122.20416663333334,0.0,10.412500000000023,312.125,2.6875,477.3937500000032,1419.25,15160.862500000001,728.1750000000001
2012-04-30,44.712500000000006,-122.20416663333334,35.112500000000004,7.425000000000068,194.7875,8.15,484.81875000000326,1454.3625,15355.65,736.325
